"","DPR"
"frc80",9.02751898347455
"frc368",10.661883405412
"frc399",11.2352970105497
"frc702",16.3155117768527
"frc498",17.6892032728134
"frc861",12.5000529614498
"frc691",12.3805427578656
"frc524",10.7367856242407
"frc22",7.87050776630296
"frc597",16.6700919876261
"frc980",12.5580138506807
"frc974",16.6523141479269
"frc114",12.824546117974
"frc968",15.4001381832193
"frc995",13.752050289757
"frc698",15.3038300403968
"frc988",17.7223036430713
"frc634",11.8204017022915
"frc987",4.61640472369113
"frc697",16.4922562921352
"frc981",15.6783755205975
"frc64",13.0041887910472
"frc701",14.2567284399935
"frc599",11.6818110772699
"frc989",14.8078916585901
"frc362",19.6552237855007
"frc991",9.22115799342272
"frc259",18.5091003532294
"frc850",21.4014517453778
"frc589",11.5117429111867
"frc478",17.0450773955604
"frc256",13.498845124755
"frc591",16.1602535094116
"frc60",5.14594977783473
"frc330",7.98190326130911
"frc851",7.43153313014021
"frc853",17.289407025896
"frc580",9.13177576319751
"frc842",9.48855768759089
"frc898",19.7424861249629
"frc576",16.5564876315943
"frc598",14.029569310814
"frc294",18.0730558371239
"frc687",19.2237073683947
"frc295",16.3085405712835
"frc585",12.4391263644619
"frc207",12.5316486020685
"frc606",18.7894523468353
"frc696",13.8157034291022
"frc700",13.8366043987655
"frc812",22.8759462862097
"frc492",12.5697579732085
"frc867",16.0771040063577
"frc376",7.95859793616578
"frc992",15.2750158299308
"frc990",15.5774551529813
"frc410",20.349131204875
"frc996",20.8659691081545
"frc962",14.501777832907
"frc848",16.9378144382671
"frc173",13.4625074811714
"frc71",5.98779362371932
"frc66",8.72093165404257
"frc233",14.4260829239239
"frc25",10.2764267226632
"frc118",9.03375298281545
"frc311",9.55076552430205
"frc308",11.034416926543
"frc180",6.26062061776829
"frc144",17.9457940230843
"frc195",8.10321929986513
"frc88",14.8898068987737
"frc571",15.3651453852232
"frc839",12.7097644976674
"frc138",11.0836203802684
"frc95",19.449934495545
"frc505",18.6513980259102
"frc501",24.7137650442904
"frc38",5.77102010952732
"frc96",14.4934078196666
"frc241",13.925583159597
"frc271",10.5455562313304
"frc175",16.5939115375855
"frc716",9.59398370891634
"frc287",14.3922583328634
"frc237",14.5423127864868
"frc512",25.3812988948287
"frc348",7.93822145682467
"frc126",27.6283286998314
"frc319",15.31256500788
"frc103",15.1700102842839
"frc236",23.9686160386164
"frc178",16.6641318723285
"frc230",10.4404913498203
"frc140",23.4349539000401
"frc151",10.147461373286
"frc131",15.48622865383
"frc809",20.9940364745345
"frc984",23.8886144541849
"frc394",7.15539136054673
"frc145",8.93032116934153
"frc293",14.87634851928
"frc811",14.5127740840789
"frc213",12.7118298229073
"frc546",16.8190105674318
"frc40",23.8677784299112
"frc133",10.2452762968549
"frc782",22.4449633111764
"frc228",19.4346431345045
"frc467",12.7220283411428
"frc562",13.7850275779503
"frc166",18.7198624844984
"frc177",21.4620924611036
"frc246",26.1856447708785
"frc42",16.6186947780933
"frc500",31.2887077131074
"frc134",13.7986599228324
"frc238",13.8926431803463
"frc521",14.1959420302785
"frc250",16.1364936397138
